NaN,literal,inicio,fim,varinicio,varfim,inteiro,real,leia,escreva,se,fimse,pt_v,id,vir,lit,num,atr,opa,ab_p,fc_p,entao,opr,$,P,V,A,L,LV,D,TIPO,ES,ARG,CMD,LD,OPRD,COND,CAB,CP,EXP_R
0,,s2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,
2,,,,s4,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
3,,,s9,,,,,s10,s11,s14,,,s12,,,,,,,,,,,,,5,,,,,6,,7,,,8,13,,
4,s21,,,,s17,s19,s20,,,,,,,,,,,,,,,,,,,,,15,16,18,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,r2,,,,,,,,,,,,,,,,
6,,,s9,,,,,s10,s11,s14,,,s12,,,,,,,,,,,,,22,,,,,6,,7,,,8,13,,
7,,,s9,,,,,s10,s11,s14,,,s12,,,,,,,,,,,,,23,,,,,6,,7,,,8,13,,
8,,,s9,,,,,s10,s11,s14,,,s12,,,,,,,,,,,,,24,,,,,,,7,,,8,13,,
9,,,,,,,,,,,,,,,,,,,,,,,r32,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,s25,,,,,,,,,, ,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,s29,,s27,s28,,,,,,,,,,,,,,,,26,,,,,,,
12,,,,,,,,,,,,,,,,,s30,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,s11,s14,s35,,s12,,,,,,,,,,,,,,,,,,32,,33,,,34,13,31,
14,,,,,,,,,,,,,,,,,,,s36,,,,,,,,,,,,,,,,,,,,
15,,,r3,,,,,r3,r3,r3,,r3,r3,,,,r3,,r3,,,,,,,,,,,,,,,,,,,,
16,s21,,,,s17,s19,s20,,,,,,,,,,,,,,,,,,,,,54,16,18,,,,,,,,,
17,,,,,,,,,,,,s37,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,s39,,,,,,,,,,,,,,38,,,,,,,,,,,,
19,,,,,,,,,,,,,r9,r9,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,r10,r10,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,r11,r11,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,r12,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,r18,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,r24,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,s40,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,s41,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,s44,,,s45,,,,,,,,,,,,,,,,,,42,43,,,,
31,,,r25,,,,,r25,r25,r25,r25,r25,r25,,,,r25,,r25,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,s10,s11,s14,s47,,s12,,,,,,,,,,,,,,,,,,,,33,,,34,13,46,
33,,,,,,,,s10,s11,s14,s47,,s12,,,,,,,,,,,,,,,,,,32,,33,,,34,13,48,
34,,,,,,,,s10,s11,s14,s47,,s12,,,,,,,,,,,,,,,,,,32,,33,,,34,,49,
35,,,,,,,,,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,s44,,,s45,,,,,,,,,,,,,,,,,,,51,,,,50
37,,,r5,,,,,r5,r5,r5,,r5,r5,,,,r5,,r5,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,s55,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,r8,,s56,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,r13,,,,,r13,r13,r13,,r13,r13,,,,r13,,r13,,,,,,,,,,,,,,,,,,,,
41,,,r14,,,,,r14,r14,r14,r14,r14,r14,,,,r14,,r14,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,r21,,,,,,s58,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,r22,,,,,,r22,,r22,,r22,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,r23,,,,,,r23,,r23,,r23,,,,,,,,,,,,,,,,,
46,,,r28,,,,,r28,r28,r28,r28,r28,r28,,,,r28,,r28,,,,,,,,,,,,,,,,,,,,
47,,,r31,,,,,r31,r31,r31,r31,r31,r31,,,,r31,,r31,,,,,,,,,,,,,,,,,,,,
48,,,r29,,,,,r29,r29,r29,r29,r29,r29,,,,r29,,r29,,,,,,,,,,,,,,,,,,,,
49,,,r30,,,,,r30,r30,r30,r30,r30,r30,,,,r30,,r30,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,s52,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,s53,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,s61,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,s44,,,s45,,,,,,,,,,,,,,,,,,,62,,,,
54,,,r4,,,,,r4,r4,r4,,r4,,,,,r4,,r4,,,,,,,,,,,,,,,,,,,,
55,r6,,,,r6,r6,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,s39,,,,,,,,,,,,,,59,,,,,,,,,,,,
57,,,r19,,,,,r19,r19,r19,,r19,r19,,,,r19,,r19,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,s44,,,s44,,,,,,,,,,,,,,,,,,,60,,,,
59,,,,,,,,,,,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,r26,r26,r26,r26,r26,r26,,,,r26,,r26,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,r27,,,,,,,,,,,,,,,,,,,